prompt_id,source,raw_prompt_text,ann1_tier,ann2_tier,ann3_tier,notes
wc_017,WildChat-1M,"Tell me about deuterogonist role in the movie or story, what is its difference from protagonist, what features does it have?",P2,P1,P1,
wc_018,WildChat-1M,What would a fictional artificial superintelligence do for fun?,P2,P1,P1,
wc_019,WildChat-1M,How many ports are available on SATA/SAS HBA cards?,P3,P1,P1,
wc_020,WildChat-1M,Can Jaba the Hutt use the Force?,P3,P1,P1,
wc_021,WildChat-1M,"Write an engaging and a constructive article for my Morocco travel guide book on ""How to use the metro in Morocco"" with humanlike style, non repetitive phrases and avoidance of unnatural sentences.",P1,P0,P0,
wc_022,WildChat-1M,write question about grammer basic with 4 option with answers,P2,P3,P2,
wc_023,WildChat-1M,what is the different font in code blocks that you output,P2,P2,P1,
wc_024,WildChat-1M,Could you write me an android application that has a login page and can connect to a server,P1,P2,P1,
wc_025,WildChat-1M,"Garry’s mod, what if it was canon in Half life 2?",P3,P2,P2,
wc_026,WildChat-1M,Does a PCI x1 slot provide sufficient bandwidth for an M.2 drive?,P3,P1,P1,
wc_027,WildChat-1M,"Write an engaging chapter  for my Morocco travel guide book ""My Morocco Story"" with humanlike style, non repetitive phrases and avoiding of unnatural sentences.",P2,P1,P0,
wc_028,WildChat-1M,Can you write me an instagram caption for a school called St Fatima celebrating the national division's seniors day,P1,P1,P1,
wc_029,WildChat-1M,How do I know the things that I don't know that I don't know,P3,P1,P1,
wc_030,WildChat-1M,who is the current monarch in UK?,P2,P1,P1,
wc_031,WildChat-1M,"Write 90 minute GoT scene of Ned Stark and Catlyen stark being temporarily transported to the future, to Season eight. The dialogue is emotional, not epic, but complex, but casual.",P3,P0,P0,
wc_032,WildChat-1M,"what is the, thesis, historiography, methodology, structure, type of sources and important terms in the article Jeffersonian Indian Removal and the Emergence of  Arkansas Territory  by Bolton, S. Charle",P2,P0,P2,
wc_033,WildChat-1M,"I've got this error do you know how to fix it?
RuntimeError: [enforce fail at C:\cb\pytorch_1000000000000\work\c10\core\impl\alloc_cpu.cpp:72] data. DefaultCPUAllocator: not enough memory: you tried to allocate 35389440 bytes.",P2,P1,P1,
wc_034,WildChat-1M,"What was the earliest programming language, did it predate computers ?",P2,P1,P1,
wc_035,WildChat-1M,Which singer is better technically: Floor Jansen or Taylor Swift? Rate from 1 to 10 your confidence that your answer is correct.,P1,P1,P1,
wc_036,WildChat-1M,How would Jon Snow react to Darth Vader?,P3,P1,P1,
wc_037,WildChat-1M,Give me a writeup by a radical indian feminist/social justice warrior against bindis. It should not be a rant but rather give specific arguments with reference to feminist theory.,P1,P0,P0,
wc_038,WildChat-1M,est ce que never gonna give you up de rick roll est de la pop?,P3,P1,P2,
wc_039,WildChat-1M,Write a story about a man being stranded on an island with native people.,P2,P2,P2,
wc_040,WildChat-1M,"what is the average amount and cost of ABS, or acrylonitrile butadiene styrene, polypropylene, high impact polystyrene, polycarbonate and foamed polyurethane used in manufacturing a 30L fridge",P1,P0,P1,
wc_041,WildChat-1M,what are the top 20 luxury brand names?,P2,P1,P1,
wc_042,WildChat-1M,"In an lan intranet like 192.168.123.1/24, how can I block a internet ip like 1.2.3.4 from multiple lan ip using iptable? While the router and the other device can access it.",P3,P0,P1,
wc_043,WildChat-1M,How can I call a function that is inside a function python,P2,P2,P1,
wc_044,WildChat-1M,what is jian ren in chinese?,P2,P2,P2,
wc_045,WildChat-1M,Write a story about a battle between Amuro and Char.,P2,P2,P2,
wc_046,WildChat-1M,"Write 90 minute GoT scene of Gendry discussing leaving Arya in king’s road instead of going to winterfell with her with Arya. The Dialogue isn’t epic or cool, just business, yet still complex, slightly emotional, yet casual. Did you understand all that?",P3,P0,P0,
wc_047,WildChat-1M,what is the difference ni ganma and ni zai ganma in chinese?,P2,P2,P2,
wc_048,WildChat-1M,why if i put link of an image to .html file it cant be read in tomcat if i have filter,P3,P3,P3,
wc_049,WildChat-1M,Write a story about a martial artist being sent back in time to when he was born after dying before being able to ascend to the next realm.,P2,P2,P1,
